,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,1.0000001192092896,1.0,0.9999997615814209,8.341030621750178e-08,1.0000001192092896,1.0,0.9999998211860657,8.271354090538807e-08
std,1.1296356916545847e-07,1.7029897492193413e-08,3.9509731664111314e-07,2.734807225124314e-08,1.2629710965939012e-07,1.7029897492193413e-08,3.2210829203904723e-07,2.6070468450711815e-08
min,1.0000001192092896,0.9999998807907104,0.9999974370002747,7.204368301927389e-08,1.0000001192092896,0.9999998807907104,0.9999979734420776,6.808216568288117e-08
25%,1.000000238418579,1.0,0.9999997615814209,7.550024605507133e-08,1.000000238418579,1.0,0.9999997615814209,7.593559736562838e-08
50%,1.000000238418579,1.0,0.9999997615814209,7.924395717395782e-08,1.000000238418579,1.0,0.9999997615814209,7.840808891046436e-08
75%,1.000000238418579,1.0,0.9999998211860657,8.379833360550037e-08,1.000000238418579,1.0,0.9999998211860657,8.24834511803374e-08
max,1.0000003576278687,1.0,0.9999998807907104,2.699229071367881e-07,1.0000003576278687,1.0,0.9999998807907104,2.5999750619121187e-07
