,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999980330467224,0.7977643609046936,0.08644496649503708,0.21931439638137817,0.9999951720237732,0.7973974347114563,0.08739499002695084,0.21880421042442322
std,7.567821285192622e-06,0.017677104100584984,0.047530993819236755,0.013865978457033634,9.545208740746602e-06,0.018074234947562218,0.04755512997508049,0.013331837952136993
min,0.9999517798423767,0.764994740486145,0.004091873299330473,0.18776889145374298,0.9999489784240723,0.7636412382125854,0.002439331728965044,0.18360355496406555
25%,0.9999995082616806,0.7866367697715759,0.04690299462527037,0.20979074388742447,0.9999947845935822,0.7870806902647018,0.051892961375415325,0.21072666347026825
50%,0.9999999403953552,0.7978593409061432,0.0899287573993206,0.21941069513559341,0.9999994933605194,0.7954707145690918,0.08386768028140068,0.21955730020999908
75%,1.0,0.8082165867090225,0.1115249264985323,0.2272810861468315,0.9999999403953552,0.8077201843261719,0.11505737341940403,0.22782277688384056
max,1.000000238418579,0.8457350134849548,0.20383970439434052,0.251700222492218,1.0000001192092896,0.8471442461013794,0.20173901319503784,0.24535146355628967
