,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999992847442627,0.9656134843826294,0.6383694410324097,0.04892897978425026,0.9999975562095642,0.9657044410705566,0.6522080898284912,0.04896622151136398
std,1.7956048168343841e-06,0.003196856239810586,0.10303795337677002,0.006537115667015314,4.962564617017051e-06,0.0033411376643925905,0.09017705172300339,0.006928801070898771
min,0.9999899864196777,0.9590765833854675,0.24782554805278778,0.03830332309007645,0.9999749660491943,0.9584622383117676,0.30851975083351135,0.036642566323280334
25%,0.9999997019767761,0.9628298878669739,0.6000404506921768,0.0441156942397356,0.9999981969594955,0.9630272686481476,0.5958868116140366,0.04395830724388361
50%,1.0,0.9656394422054291,0.6681873500347137,0.049135828390717506,0.9999994933605194,0.9660588502883911,0.6587655544281006,0.048524586483836174
75%,1.0000001192092896,0.9686460494995117,0.7171984016895294,0.05371337477117777,0.9999998807907104,0.9677976369857788,0.7095780074596405,0.05269246641546488
max,1.000000238418579,0.9713329076766968,0.7635608315467834,0.07016833871603012,1.0000001192092896,0.9723750948905945,0.8238138556480408,0.06603535264730453
