,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.999996542930603,0.8469476103782654,0.18808485567569733,0.17558163404464722,0.9999958276748657,0.8462610840797424,0.17617900669574738,0.17462411522865295
std,1.0843439667951316e-05,0.013525400310754776,0.06652423739433289,0.012576909735798836,6.931665211595828e-06,0.013793287798762321,0.07505913823843002,0.011851361021399498
min,0.9999340176582336,0.8226932287216187,0.011103397235274315,0.14713405072689056,0.9999682307243347,0.8208756446838379,0.017817150801420212,0.14550109207630157
25%,0.9999990910291672,0.8370585739612579,0.15790896117687225,0.16761664673686028,0.9999935179948807,0.8362167924642563,0.1342916078865528,0.1667340323328972
50%,0.9999999403953552,0.8486381769180298,0.19589776545763016,0.1763482764363289,0.9999993443489075,0.8457537293434143,0.1771312728524208,0.1770498901605606
75%,1.0000001192092896,0.8540366590023041,0.22951801121234894,0.18287820741534233,0.999999925494194,0.8532853275537491,0.22129437699913979,0.18256772682070732
max,1.000000238418579,0.8814972639083862,0.3143707513809204,0.2034820318222046,1.0,0.8801130056381226,0.35688453912734985,0.2027156949043274
