,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999994039535522,0.9656132459640503,0.6383681893348694,0.04892920330166817,0.9999975562095642,0.9657041430473328,0.6522082686424255,0.04896644502878189
std,1.796513060980942e-06,0.003196888603270054,0.10303805768489838,0.006536954548209906,4.957463261234807e-06,0.0033411881886422634,0.09017720818519592,0.006928625050932169
min,0.999989926815033,0.9590766429901123,0.2478249967098236,0.03830356150865555,0.9999750256538391,0.9584622383117676,0.308519572019577,0.03664252907037735
25%,0.9999997615814209,0.9628299325704575,0.6000416129827499,0.04411571007221937,0.9999981820583344,0.9630272686481476,0.5958850085735321,0.043961210176348686
50%,1.0,0.9656393527984619,0.6681860089302063,0.04913590848445892,0.9999994933605194,0.9660588800907135,0.658764660358429,0.04852467402815819
75%,1.0000001192092896,0.9686461091041565,0.7172024548053741,0.05371332261711359,0.9999998807907104,0.9677976369857788,0.7095775902271271,0.0526926564052701
max,1.000000238418579,0.9713329076766968,0.7635608911514282,0.07016827166080475,1.0000001192092896,0.9723751544952393,0.8238146901130676,0.06603540480136871
