,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2653311789035797,0.2661401331424713,0.2616736888885498,0.26923882961273193,0.2618774473667145,0.31671056151390076,0.9085937738418579,0.0,0.8232812285423279,0.8704687356948853,0.5069531202316284,0.4845312535762787,0.31765642762184143,0.2995237112045288,0.31106770038604736,0.2944975793361664,0.30712825059890747
std,0.03183067962527275,0.013722279109060764,0.021720871329307556,0.01168340165168047,0.01861141249537468,0.013495607301592827,0.021741917356848717,0.0,0.03903506323695183,0.030568543821573257,0.038631949573755264,0.03404438495635986,0.012401476502418518,0.008782041259109974,0.00965875294059515,0.00778198940679431,0.0092835184186697
min,0.20280995965003967,0.2407294660806656,0.2112906575202942,0.2400819957256317,0.21954427659511566,0.2835797071456909,0.875,0.0,0.73828125,0.77734375,0.43359375,0.40234375,0.29086190462112427,0.28085219860076904,0.28728803992271423,0.2785119116306305,0.284575879573822
25%,0.23992964997887611,0.25600874423980713,0.24727646633982658,0.2612883448600769,0.24988167732954025,0.3082546070218086,0.8916015625,0.0,0.7939453125,0.859375,0.4853515625,0.46484375,0.31038762629032135,0.29468996822834015,0.3047032803297043,0.28945453464984894,0.3006879985332489
50%,0.26484718918800354,0.26561662554740906,0.2591087073087692,0.2689641863107681,0.2591715008020401,0.3164319396018982,0.908203125,0.0,0.83203125,0.87109375,0.5078125,0.490234375,0.3187251091003418,0.2982022911310196,0.31037044525146484,0.2942953258752823,0.3076543062925339
75%,0.28277426213026047,0.27544668316841125,0.2770885229110718,0.27580131590366364,0.27446555346250534,0.3241128772497177,0.921875,0.0,0.8515625,0.88671875,0.52734375,0.5,0.32495252043008804,0.30617308616638184,0.3178209140896797,0.30046775937080383,0.31289956718683243
max,0.3424924612045288,0.30309587717056274,0.3160509467124939,0.30650198459625244,0.3055045008659363,0.35217732191085815,0.95703125,0.0,0.90234375,0.921875,0.61328125,0.55859375,0.3438539505004883,0.3201630711555481,0.33317267894744873,0.3117726445198059,0.3307914137840271
