,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.0035587407182902098,-0.016081878915429115,-0.05411864444613457,0.00862152874469757,-0.003391388338059187,-0.016143396496772766,-0.05533628910779953,0.008733694441616535
std,0.00044227723265066743,0.0003895547124557197,0.0046965875662863255,0.000513676437549293,0.00036397590884007514,0.00039370142621919513,0.006080313120037317,0.00047937961062416434
min,-0.004596622660756111,-0.016887323930859566,-0.06454452127218246,0.007502606604248285,-0.004257775377482176,-0.0168866366147995,-0.06807266920804977,0.007631591986864805
25%,-0.0038597514503635466,-0.016344326548278332,-0.05742349848151207,0.008205280639231205,-0.0036265624803490937,-0.016452363692224026,-0.06009570695459843,0.008444594917818904
50%,-0.003531094524078071,-0.0160703519359231,-0.05364811606705189,0.00864309212192893,-0.003415436134673655,-0.016147769056260586,-0.05560600385069847,0.008732198737561703
75%,-0.003222844039555639,-0.01579696126282215,-0.05093133170157671,0.008966441731899977,-0.003126544237602502,-0.015829669311642647,-0.050018733367323875,0.009030922316014767
max,-0.0026421593502163887,-0.015335879288613796,-0.04404846578836441,0.009682901203632355,-0.0026264002081006765,-0.015371240675449371,-0.04420017451047897,0.00990629754960537
