,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8987118005752563,0.015746135264635086,-0.015278131701052189,0.09145369380712509,0.9115897417068481,0.01580587960779667,-0.015245890244841576,0.0933530256152153
std,0.1117996796965599,0.004281246103346348,0.0016830257372930646,0.015485371463000774,0.09621690958738327,0.004399640951305628,0.001715413760393858,0.015216493979096413
min,0.5822438597679138,0.008678145706653595,-0.019738735631108284,0.06071903184056282,0.6345296502113342,0.007958225905895233,-0.021137351170182228,0.05776787921786308
25%,0.8355207741260529,0.012321146670728922,-0.016260876785963774,0.07887675985693932,0.8653867393732071,0.012065161019563675,-0.016079679131507874,0.08115527965128422
50%,0.9512511789798737,0.01614227145910263,-0.015046956483274698,0.09277644008398056,0.95522141456604,0.015882614068686962,-0.015170703642070293,0.09477587416768074
75%,0.9815167933702469,0.017934367060661316,-0.014208423905074596,0.10090058669447899,0.9830367863178253,0.01792152877897024,-0.014342220732942224,0.1025530006736517
max,1.0000003576278687,0.02661769464612007,-0.012716386467218399,0.13229943811893463,1.000000238418579,0.025389673188328743,-0.01106324978172779,0.13005872070789337
