,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999809861183167,0.9391347765922546,0.3918420672416687,0.07844419777393341,0.9999871253967285,0.9391970634460449,0.3922047019004822,0.0783560499548912
std,3.438924250076525e-05,0.004166793543845415,0.1255294680595398,0.007613377645611763,2.151617627532687e-05,0.004097021650522947,0.11620635539293289,0.006883399561047554
min,0.9997732043266296,0.9296762943267822,0.034653190523386,0.06124154105782509,0.9998909831047058,0.9313666224479675,0.048347678035497665,0.0579710453748703
25%,0.99997778236866,0.9362335503101349,0.33860763907432556,0.07288958877325058,0.9999828338623047,0.9357360303401947,0.33411549031734467,0.07426279596984386
50%,0.99999138712883,0.939734697341919,0.4024996906518936,0.07912740856409073,0.9999956488609314,0.9394334852695465,0.4100476801395416,0.07780793681740761
75%,0.9999995231628418,0.9413337707519531,0.4828360602259636,0.08348660916090012,0.9999994933605194,0.9419607818126678,0.46548236906528473,0.08371670171618462
max,1.0000001192092896,0.9489038586616516,0.6247669458389282,0.09811834245920181,1.0000001192092896,0.9505035877227783,0.6862693428993225,0.09121185541152954
