,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.3373700678348541,0.30646660923957825,0.32557442784309387,0.29866987466812134,0.31995925307273865,0.2719804644584656,0.9061718583106995,0.0,0.7985546588897705,0.8515234589576721,0.42867186665534973,0.4450390636920929,0.2690410912036896,0.27053412795066833,0.26948076486587524,0.27120286226272583,0.26973477005958557
std,0.012125537730753422,0.00695446552708745,0.009361154399812222,0.006424566265195608,0.008369066752493382,0.006177136674523354,0.01714523509144783,0.0,0.026313647627830505,0.023571612313389778,0.024778420105576515,0.02460111677646637,0.0061933076940476894,0.0041025253012776375,0.004822928924113512,0.003940379712730646,0.004225834738463163
min,0.3082839250564575,0.2912294864654541,0.309215784072876,0.2872019112110138,0.30728840827941895,0.253362774848938,0.86328125,0.0,0.736328125,0.7890625,0.380859375,0.37890625,0.25503039360046387,0.26230698823928833,0.25896120071411133,0.2638421058654785,0.260673850774765
25%,0.329698882997036,0.3017226308584213,0.31937314569950104,0.293573260307312,0.31364089995622635,0.26898767799139023,0.89453125,0.0,0.78515625,0.8359375,0.41259765625,0.42626953125,0.2648444026708603,0.26782985031604767,0.26580800116062164,0.2686908021569252,0.2668566033244133
50%,0.33886465430259705,0.3051917552947998,0.32481127977371216,0.2981989234685898,0.31811167299747467,0.2713005691766739,0.9091796875,0.0,0.7958984375,0.8525390625,0.42578125,0.4501953125,0.2692410498857498,0.27021509408950806,0.2689592093229294,0.2710837572813034,0.2690153121948242
75%,0.3463742360472679,0.3107602000236511,0.331775464117527,0.3018840327858925,0.32547537982463837,0.2751750946044922,0.916015625,0.0,0.814453125,0.8671875,0.4453125,0.4609375,0.27283231914043427,0.27260398864746094,0.27340173721313477,0.27346425503492355,0.271747387945652
max,0.3610997200012207,0.3221924901008606,0.3512725532054901,0.31425055861473083,0.34606224298477173,0.286562442779541,0.939453125,0.0,0.86328125,0.8984375,0.5078125,0.50390625,0.2851131856441498,0.28020626306533813,0.2800053358078003,0.28059032559394836,0.27947914600372314
