,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.29152771830558777,0.2826111614704132,0.2857062816619873,0.2833794057369232,0.2836102247238159,0.28839054703712463,0.9043750166893005,0.0,0.8100000023841858,0.8567578196525574,0.45152342319488525,0.46214842796325684,0.287584125995636,0.2871927320957184,0.2879023253917694,0.2860190272331238,0.28808462619781494
std,0.042785242199897766,0.012257418595254421,0.022735221311450005,0.008457249030470848,0.019599899649620056,0.008244935423135757,0.019229816272854805,0.0,0.022770455107092857,0.018959296867251396,0.025274427607655525,0.027792442589998245,0.007248972076922655,0.004149511456489563,0.005478257313370705,0.003734190948307514,0.0048571317456662655
min,0.18563181161880493,0.25686848163604736,0.23407399654388428,0.26479077339172363,0.2465154379606247,0.270785391330719,0.865234375,0.0,0.759765625,0.830078125,0.39453125,0.404296875,0.2734639048576355,0.2784438133239746,0.2756451368331909,0.2780337333679199,0.2775893211364746
25%,0.26989585161209106,0.2731177657842636,0.2695642560720444,0.27678216993808746,0.2664124593138695,0.2826385870575905,0.892578125,0.0,0.79296875,0.84375,0.4375,0.44580078125,0.28202594071626663,0.2848753109574318,0.2837483659386635,0.28359024971723557,0.285373292863369
50%,0.28570207953453064,0.28533264994621277,0.28409479558467865,0.2839760184288025,0.28309008479118347,0.2887598127126694,0.90625,0.0,0.8125,0.85546875,0.44921875,0.4638671875,0.28782840073108673,0.28728899359703064,0.2880665808916092,0.2859193980693817,0.2877974808216095
75%,0.3131987005472183,0.29096686840057373,0.3027849346399307,0.290111780166626,0.2974115014076233,0.2930089011788368,0.9140625,0.0,0.82373046875,0.86865234375,0.46875,0.47998046875,0.29305335879325867,0.28893233835697174,0.291937917470932,0.28779594600200653,0.2917388007044792
max,0.3908313512802124,0.3060437738895416,0.34786516427993774,0.29946082830429077,0.3258277177810669,0.30501288175582886,0.953125,0.0,0.85546875,0.916015625,0.51171875,0.529296875,0.3023371994495392,0.29672396183013916,0.2986817955970764,0.29513412714004517,0.29848676919937134
