,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.30729174613952637,0.2893034815788269,0.3036850094795227,0.28273719549179077,0.2997105121612549,0.36778464913368225,0.3785182237625122,0.32653194665908813,0.36041122674942017,0.31253352761268616,0.3506864905357361
std,0.03333783894777298,0.011913714930415154,0.021489175036549568,0.00868071150034666,0.017891617491841316,0.01438476424664259,0.012230541557073593,0.008818506263196468,0.010765434242784977,0.008228200487792492,0.010431680828332901
min,0.21023105084896088,0.2657690644264221,0.2528821527957916,0.265877366065979,0.25980818271636963,0.322124719619751,0.35238412022590637,0.30895131826400757,0.3410027325153351,0.2957245707511902,0.33048275113105774
25%,0.2877383381128311,0.2798435911536217,0.2903519496321678,0.2759459614753723,0.28772129863500595,0.359358511865139,0.3698727637529373,0.3212897479534149,0.3523707538843155,0.3070021793246269,0.3434463441371918
50%,0.3060252517461777,0.29049356281757355,0.29750674962997437,0.2848680168390274,0.2967376112937927,0.36897803843021393,0.37857145071029663,0.326278492808342,0.3592078983783722,0.31264805793762207,0.348278746008873
75%,0.3237784281373024,0.299216628074646,0.3178122639656067,0.2893538177013397,0.3146105110645294,0.3760751634836197,0.38789432495832443,0.3330508917570114,0.3675290420651436,0.31746672093868256,0.35754816979169846
max,0.37582021951675415,0.31498944759368896,0.3547942638397217,0.297718346118927,0.3374483287334442,0.4079638719558716,0.40814340114593506,0.3459024429321289,0.387312650680542,0.33265048265457153,0.37455686926841736
