,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2803403437137604,0.2704782783985138,0.27771228551864624,0.2681117355823517,0.2759844660758972,0.3716817796230316,0.37386807799339294,0.3315843939781189,0.3604874312877655,0.3185782730579376,0.35267382860183716
std,0.027291320264339447,0.01092706061899662,0.019213365390896797,0.008577413856983185,0.016408102586865425,0.014587700366973877,0.011769657023251057,0.009003380313515663,0.009769364260137081,0.008242836222052574,0.009269166737794876
min,0.22406187653541565,0.2512928247451782,0.2405918836593628,0.2511262595653534,0.24586838483810425,0.3382411599159241,0.34824302792549133,0.31360530853271484,0.3437398076057434,0.3030269145965576,0.336472749710083
25%,0.25689440220594406,0.26023292541503906,0.2657914459705353,0.26028576493263245,0.2639343664050102,0.3622196912765503,0.36780601739883423,0.32448554039001465,0.35311315208673477,0.3126131519675255,0.34571876376867294
50%,0.28368499875068665,0.27161239087581635,0.2769445478916168,0.2686004042625427,0.27552326023578644,0.3717225193977356,0.3742848336696625,0.33057916164398193,0.35962995886802673,0.3185872584581375,0.35097767412662506
75%,0.29859867691993713,0.2789650484919548,0.2921372875571251,0.2761991545557976,0.2887042984366417,0.3798939436674118,0.3823196515440941,0.33917587995529175,0.3659025654196739,0.32457321137189865,0.358556866645813
max,0.3402302861213684,0.29097017645835876,0.31657686829566956,0.2853776812553406,0.312367707490921,0.41260090470314026,0.4022291302680969,0.3532058000564575,0.3811625838279724,0.3392699956893921,0.37294381856918335
