,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.3305153250694275,0.29956188797950745,0.31942614912986755,0.2927565574645996,0.3130662441253662,0.27063992619514465,0.2710660696029663,0.2709141671657562,0.27060577273368835,0.27225542068481445,0.2707943022251129
std,0.013421679846942425,0.010419429279863834,0.01163079310208559,0.009047459810972214,0.011487821117043495,0.013008685782551765,0.009868022985756397,0.007746069226413965,0.00830131582915783,0.0076093957759439945,0.007943587377667427
min,0.3009181618690491,0.2788456678390503,0.29577839374542236,0.2760104537010193,0.2895562946796417,0.2417849600315094,0.24820800125598907,0.24797122180461884,0.24781303107738495,0.2509247958660126,0.2475610375404358
25%,0.32304079085588455,0.29351339489221573,0.311988890171051,0.28632327169179916,0.307829886674881,0.2626446485519409,0.26628291606903076,0.2661985754966736,0.2642217203974724,0.26661302894353867,0.2655549943447113
50%,0.3301345109939575,0.29865603148937225,0.31998486816883087,0.29202142357826233,0.3116193115711212,0.2716718316078186,0.2697887718677521,0.2705439180135727,0.2710776627063751,0.27215908467769623,0.27237221598625183
75%,0.33985887467861176,0.30533650517463684,0.3259369507431984,0.297305591404438,0.31926949322223663,0.27803637832403183,0.27638139575719833,0.2763049751520157,0.27640389651060104,0.2776777073740959,0.2759697139263153
max,0.35761597752571106,0.3272627294063568,0.35270440578460693,0.3151322901248932,0.34677034616470337,0.3005976676940918,0.2984858751296997,0.2896093726158142,0.2885166108608246,0.2900286018848419,0.28793588280677795
