,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999721646308899,0.8356298804283142,0.16737210750579834,0.17150059342384338,0.9999711513519287,0.8359982967376709,0.17216485738754272,0.17130592465400696
std,6.333065539365634e-05,0.011780713684856892,0.07717698067426682,0.010837857611477375,5.220123057370074e-05,0.012106063775718212,0.06969249993562698,0.011866535060107708
min,0.9995908737182617,0.810193657875061,-0.005952130537480116,0.14147453010082245,0.9997367858886719,0.8110042810440063,0.024873120710253716,0.1402789056301117
25%,0.9999782592058182,0.8271497786045074,0.11106303706765175,0.16698983311653137,0.9999725520610809,0.8279141038656235,0.12510301545262337,0.16418665647506714
50%,0.9999926388263702,0.8359324038028717,0.16425027698278427,0.17129012942314148,0.9999918639659882,0.8356682062149048,0.16921469569206238,0.17062551528215408
75%,0.9999995231628418,0.842725083231926,0.20682553574442863,0.1780688688158989,0.9999987632036209,0.8429935127496719,0.2315528355538845,0.17834091931581497
max,1.0000001192092896,0.8679831624031067,0.33635008335113525,0.19372397661209106,1.0000001192092896,0.8674268126487732,0.33255839347839355,0.20913977921009064
