,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.006552203092724085,-0.023665273562073708,-0.06673747301101685,0.011080639436841011,-0.006499092094600201,-0.02368701994419098,-0.0657239481806755,0.01108354702591896
std,0.0007097154739312828,0.0007813117117621005,0.008167058229446411,0.0008929427713155746,0.0008362135267816484,0.0008159491117112339,0.006725977640599012,0.0009071095264516771
min,-0.008447816595435143,-0.025154177099466324,-0.09443000704050064,0.009375791996717453,-0.008636480197310448,-0.025198696181178093,-0.0837293267250061,0.00934320967644453
25%,-0.007090975297614932,-0.02415428450331092,-0.07087213359773159,0.010395622812211514,-0.007061991491355002,-0.02429583389312029,-0.06984422542154789,0.010337663814425468
50%,-0.006626033922657371,-0.023625610396265984,-0.0661238469183445,0.010965893045067787,-0.0065890944097191095,-0.023629991337656975,-0.06630721688270569,0.011149439960718155
75%,-0.006136131356470287,-0.023012510500848293,-0.06121375411748886,0.011878211051225662,-0.0058876300463452935,-0.023092690855264664,-0.06167091615498066,0.011707894038408995
max,-0.005023738835006952,-0.02181914821267128,-0.053125035017728806,0.013116659596562386,-0.004707871004939079,-0.022209715098142624,-0.0494191013276577,0.01284676231443882
