,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999979138374329,0.9464451670646667,0.37934666872024536,0.08777111023664474,0.999997615814209,0.9461476802825928,0.3931526839733124,0.08921542018651962
std,5.710935511160642e-06,0.006715024821460247,0.13378222286701202,0.013153239153325558,6.020562977937516e-06,0.0067135426215827465,0.1429375261068344,0.014062660746276379
min,0.9999629259109497,0.9324647188186646,0.07558649033308029,0.05920005589723587,0.9999694228172302,0.9338378310203552,0.13287904858589172,0.063232421875
25%,0.9999983757734299,0.9410169124603271,0.2926046550273895,0.07796001434326172,0.9999988526105881,0.9422449618577957,0.3026916831731796,0.07897596806287766
50%,0.9999997913837433,0.9465897977352142,0.3876550793647766,0.08839273452758789,0.9999998211860657,0.9460108280181885,0.38207972049713135,0.09157998859882355
75%,0.9999999403953552,0.9515139907598495,0.49084867537021637,0.09852903336286545,1.0,0.9516424685716629,0.500775620341301,0.09967473149299622
max,1.0000001192092896,0.959643542766571,0.6069644093513489,0.1183195635676384,1.0000001192092896,0.9587982296943665,0.659763753414154,0.1176898404955864
