,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8916494250297546,0.021010370925068855,-0.023313159123063087,0.11426980048418045,0.8911589980125427,0.020983688533306122,-0.02369992807507515,0.11568237096071243
std,0.12584859132766724,0.007916547358036041,0.0029705401975661516,0.02258947677910328,0.126761332154274,0.008054646663367748,0.003395724343135953,0.02277272194623947
min,0.5731030106544495,0.008439626544713974,-0.03233713656663895,0.07688869535923004,0.5687571167945862,0.008176806382834911,-0.03288286551833153,0.07477641850709915
25%,0.8285544216632843,0.014716546051204205,-0.024816006887704134,0.09754292666912079,0.8375906646251678,0.014892980456352234,-0.025863300543278456,0.09981569647789001
50%,0.9403784871101379,0.019526525400578976,-0.022833057679235935,0.11022769659757614,0.9392077922821045,0.019133183173835278,-0.023180984891951084,0.11439845710992813
75%,0.9918562322854996,0.025127816013991833,-0.02149108098819852,0.13316472619771957,0.992152214050293,0.025442573241889477,-0.020735804922878742,0.13354091346263885
max,0.9999710917472839,0.04530125856399536,-0.018906280398368835,0.16959021985530853,0.9999647736549377,0.04758286476135254,-0.018052473664283752,0.17808321118354797
