,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.007280069403350353,-0.028825538232922554,-0.07998623698949814,0.013384903781116009,-0.00725895632058382,-0.02890891768038273,-0.0798887312412262,0.013549277558922768
std,0.0008588646305724978,0.000983908772468567,0.008892991580069065,0.0009508522343821824,0.0009286737767979503,0.0009935860289260745,0.008918769657611847,0.0009267500136047602
min,-0.008947944268584251,-0.031177638098597527,-0.09792087972164154,0.01103790570050478,-0.009424882009625435,-0.03133665397763252,-0.1026979461312294,0.011738219298422337
25%,-0.007887169253081083,-0.029362181201577187,-0.08692358434200287,0.012755326693877578,-0.007901998469606042,-0.029553400352597237,-0.0862543098628521,0.012930487282574177
50%,-0.007366701262071729,-0.028945062309503555,-0.07844115421175957,0.013435637578368187,-0.007293508388102055,-0.029085673391819,-0.07965504378080368,0.013582526240497828
75%,-0.0067918996792286634,-0.028067948296666145,-0.07343686744570732,0.013969564577564597,-0.00672560790553689,-0.02811030251905322,-0.0744231790304184,0.01408897084183991
max,-0.005454053170979023,-0.026275161653757095,-0.062418822199106216,0.015383115969598293,-0.004890665411949158,-0.026456907391548157,-0.063047856092453,0.015825653448700905
