,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8827752470970154,0.024464895948767662,-0.028290661051869392,0.11568056046962738,0.8858127593994141,0.024374350905418396,-0.02861935831606388,0.1173446923494339
std,0.11810462921857834,0.007999938912689686,0.00371112790890038,0.021524904295802116,0.1178261786699295,0.008119689300656319,0.0038673398084938526,0.021600089967250824
min,0.5898414254188538,0.010619569569826126,-0.03785150125622749,0.0785728171467781,0.5343568921089172,0.010398339480161667,-0.03949327766895294,0.07347310334444046
25%,0.8178451210260391,0.018109549768269062,-0.030846853274852037,0.10100083611905575,0.8351464122533798,0.018588302191346884,-0.030865331180393696,0.10106624290347099
50%,0.9142699241638184,0.023035272024571896,-0.027898333966732025,0.11387505754828453,0.9188406765460968,0.023357856087386608,-0.0279676616191864,0.11395325884222984
75%,0.9847748279571533,0.02917648945003748,-0.02513773739337921,0.13594390079379082,0.9875156581401825,0.028916985727846622,-0.02570452820509672,0.13238326832652092
max,0.9999485015869141,0.046333011239767075,-0.022037623450160027,0.16387467086315155,0.9999294281005859,0.04896184056997299,-0.02213103324174881,0.17127250134944916
