,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8886014819145203,0.019182374700903893,-0.022826774045825005,0.10951941460371017,0.8726119995117188,0.019165661185979843,-0.02282050810754299,0.11005792021751404
std,0.10872917622327805,0.006959718652069569,0.0026326242368668318,0.021583374589681625,0.13149195909500122,0.007151487283408642,0.002890593372285366,0.021454643458127975
min,0.5644248723983765,0.007173893973231316,-0.031541019678115845,0.07034322619438171,0.41856053471565247,0.005683327093720436,-0.031592581421136856,0.061236366629600525
25%,0.8308202624320984,0.013942684279754758,-0.02472194889560342,0.0938722975552082,0.8169287592172623,0.01424128352664411,-0.024363303557038307,0.0956387110054493
50%,0.9051434099674225,0.018613462336361408,-0.022218412719666958,0.10975908488035202,0.9130089581012726,0.01822118740528822,-0.021978674456477165,0.11187130585312843
75%,0.9846340268850327,0.02363293105736375,-0.021205603145062923,0.12561805918812752,0.9678397476673126,0.023684421554207802,-0.020678756292909384,0.12357653863728046
max,0.999983549118042,0.04196886718273163,-0.017853420227766037,0.16574940085411072,0.9999645948410034,0.04330596700310707,-0.018679000437259674,0.16612638533115387
