,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2666535973548889,0.2645517587661743,0.2598239779472351,0.26635152101516724,0.2596970200538635,0.31778013706207275,0.9105468988418579,0.0,0.8256640434265137,0.8744531273841858,0.5063281059265137,0.4942578077316284,0.3238244950771332,0.30483195185661316,0.3171246647834778,0.29946500062942505,0.31383293867111206
std,0.037578754127025604,0.012332846410572529,0.023862725123763084,0.0090427715331316,0.020286651328206062,0.009255091659724712,0.016326718032360077,0.0,0.020100168883800507,0.02033211477100849,0.028720030561089516,0.026032259687781334,0.008118126541376114,0.004964977502822876,0.005575937684625387,0.004646413493901491,0.004979141987860203
min,0.1920040100812912,0.2453416883945465,0.21183007955551147,0.2489837408065796,0.21700140833854675,0.2996455132961273,0.865234375,0.0,0.7734375,0.82421875,0.443359375,0.421875,0.3051629066467285,0.29446718096733093,0.30541983246803284,0.290490061044693,0.30350008606910706
25%,0.2442096658051014,0.25439149141311646,0.24439027905464172,0.26008340716362,0.24401480332016945,0.31071119010448456,0.8994140625,0.0,0.818359375,0.86328125,0.482421875,0.4775390625,0.31831441819667816,0.30205537378787994,0.3141884356737137,0.29692400246858597,0.3093354105949402
50%,0.26505903899669647,0.265372171998024,0.25747522711753845,0.2656695693731308,0.2595056891441345,0.31523028016090393,0.912109375,0.0,0.8251953125,0.8740234375,0.5078125,0.4921875,0.3235027939081192,0.30440568923950195,0.3171755224466324,0.29910901188850403,0.3141138553619385
75%,0.28890079259872437,0.2725828289985657,0.27913014590740204,0.2720365971326828,0.2754744738340378,0.32386571168899536,0.92138671875,0.0,0.83984375,0.89013671875,0.52734375,0.5126953125,0.32953014969825745,0.3073306903243065,0.31957782804965973,0.3017888367176056,0.31635431945323944
max,0.362609326839447,0.29091715812683105,0.3159888684749603,0.2879981994628906,0.2986789047718048,0.34042415022850037,0.939453125,0.0,0.880859375,0.9296875,0.568359375,0.5546875,0.3385917544364929,0.3203735947608948,0.337594211101532,0.31396013498306274,0.33017104864120483
