,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2632724940776825,0.26376283168792725,0.2622481882572174,0.2661755084991455,0.26207324862480164,0.31778204441070557,0.3230786919593811,0.30494797229766846,0.31687963008880615,0.2996333837509155,0.3133287727832794
std,0.019783059135079384,0.00916623417288065,0.014168322086334229,0.007279226090759039,0.0120526272803545,0.008461586199700832,0.006929025053977966,0.004901581443846226,0.005652980878949165,0.00459570437669754,0.004919985309243202
min,0.2208767533302307,0.24741703271865845,0.23130883276462555,0.2547701597213745,0.2358500063419342,0.2990196943283081,0.31198400259017944,0.29406654834747314,0.3041050434112549,0.29002848267555237,0.30415454506874084
25%,0.2511306405067444,0.25704431533813477,0.2538398429751396,0.2611187472939491,0.2542457953095436,0.31345272809267044,0.31808139383792877,0.3026246652007103,0.31336287409067154,0.2964819595217705,0.3106919005513191
50%,0.264713853597641,0.2626050114631653,0.2645396739244461,0.2652323991060257,0.26262372732162476,0.31721122562885284,0.3216715604066849,0.3042747676372528,0.3169306814670563,0.2990952879190445,0.31273704767227173
75%,0.27687472850084305,0.26922034472227097,0.2706467732787132,0.27122316509485245,0.2706909105181694,0.32286978513002396,0.32826851308345795,0.3077535480260849,0.3197762295603752,0.3015964776277542,0.31549252569675446
max,0.3068874180316925,0.28522950410842896,0.28954368829727173,0.28503185510635376,0.2864132225513458,0.33685821294784546,0.3392191529273987,0.3193739652633667,0.3354155421257019,0.31351542472839355,0.32851624488830566
