,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999756813049316,0.9793423414230347,0.8635382056236267,0.02101697027683258,0.9999727010726929,0.9792864918708801,0.8531252145767212,0.021465208381414413
std,4.4042888475814834e-05,0.0013181169051676989,0.03591947257518768,0.0023799871560186148,5.572009104071185e-05,0.0013091382570564747,0.041826263070106506,0.002513710642233491
min,0.9997848272323608,0.9760869741439819,0.7834575176239014,0.01618986576795578,0.9997171759605408,0.9759904742240906,0.7182998061180115,0.016952313482761383
25%,0.9999766200780869,0.9788859039545059,0.8420141637325287,0.01948847947642207,0.9999750852584839,0.9787487536668777,0.8335044384002686,0.019444525707513094
50%,0.9999955892562866,0.9794700443744659,0.8714023530483246,0.02059366274625063,0.9999935626983643,0.979354590177536,0.8550190329551697,0.021230509504675865
75%,0.9999991059303284,0.9802130907773972,0.889533743262291,0.022574951872229576,0.9999985694885254,0.9801848232746124,0.8867156207561493,0.022952170576900244
max,1.0000001192092896,0.9821087121963501,0.9182707071304321,0.028039630502462387,1.0000001192092896,0.9817184209823608,0.9150334596633911,0.027543317526578903
