,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.4546426832675934,-0.013222350738942623,-0.056403111666440964,0.04233216866850853,0.45728054642677307,-0.01300560962408781,-0.05646277964115143,0.04323698580265045
std,0.19734494388103485,0.0024719799403101206,0.006583376321941614,0.01368788257241249,0.21161331236362457,0.0025750421918928623,0.005424597300589085,0.01446270477026701
min,0.12136206775903702,-0.01803055964410305,-0.0727081224322319,0.018308738246560097,0.10275205224752426,-0.01747649535536766,-0.06937233358621597,0.01824057660996914
25%,0.3044912591576576,-0.014777534641325474,-0.06058535072952509,0.03499410767108202,0.25436754524707794,-0.014691064832732081,-0.059178873896598816,0.03254498075693846
50%,0.46370695531368256,-0.013285366352647543,-0.05659548006951809,0.040984587743878365,0.48304224014282227,-0.013044482562690973,-0.05691900849342346,0.04411923885345459
75%,0.5728525519371033,-0.011560843558982015,-0.051439602859318256,0.04987156018614769,0.6068396270275116,-0.011243548709899187,-0.05276366136968136,0.05089065060019493
max,0.9223067760467529,-0.008268052712082863,-0.04308855161070824,0.0732923299074173,0.9464610815048218,-0.008298473432660103,-0.045969244092702866,0.07990391552448273
