,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9265625476837158,0.029406752437353134,-0.02674652263522148,0.12658056616783142,0.9260111451148987,0.029138436540961266,-0.027352962642908096,0.12690752744674683
std,0.09635362774133682,0.008835521526634693,0.003265372011810541,0.021739782765507698,0.09721623361110687,0.008758993819355965,0.003740445477887988,0.021989066153764725
min,0.5263596177101135,0.01267145574092865,-0.03822546452283859,0.07789681106805801,0.5857847929000854,0.01165787037461996,-0.03727905824780464,0.08337059617042542
25%,0.8940526843070984,0.02333899214863777,-0.028536973986774683,0.11069519817829132,0.9003784954547882,0.02285401104018092,-0.029957535676658154,0.11072125285863876
50%,0.9654695391654968,0.02787948027253151,-0.026727979071438313,0.12343434244394302,0.9680947065353394,0.027150701731443405,-0.027327227406203747,0.12549709528684616
75%,0.9958306550979614,0.03435626160353422,-0.02423462411388755,0.14291786029934883,0.9953177273273468,0.03410790674388409,-0.024679116904735565,0.1422882229089737
max,0.9999794363975525,0.05090775340795517,-0.02139633148908615,0.18294622004032135,0.9999639391899109,0.049120739102363586,-0.020127223804593086,0.17849084734916687
