,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999416470527649,0.8014435768127441,0.11592677980661392,0.19623874127864838,0.9999454617500305,0.8016232848167419,0.10855180770158768,0.19674839079380035
std,0.00010853682033484802,0.014717377722263336,0.06502311676740646,0.012816418893635273,9.21841710805893e-05,0.01488798763602972,0.055155664682388306,0.013466895557940006
min,0.9994061589241028,0.76511150598526,0.004849978722631931,0.1622684895992279,0.9995087385177612,0.7679933905601501,0.011567194946110249,0.16919955611228943
25%,0.9999370276927948,0.7898834645748138,0.07182542607188225,0.18715839087963104,0.9999406188726425,0.7919952273368835,0.07447389326989651,0.1869538128376007
50%,0.9999793171882629,0.8009983599185944,0.10723035037517548,0.19650299102067947,0.9999818503856659,0.8017303943634033,0.10743941739201546,0.19616122543811798
75%,0.9999989122152328,0.8109995871782303,0.15847155824303627,0.20576762408018112,0.9999967068433762,0.8115371018648148,0.13115816935896873,0.2057618759572506
max,1.0000001192092896,0.8281606435775757,0.3094557523727417,0.21797284483909607,1.0,0.8301006555557251,0.24060878157615662,0.22835083305835724
