,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.999967634677887,0.940592885017395,0.43489542603492737,0.07877375930547714,0.9999845623970032,0.9403131604194641,0.4418836236000061,0.07977058738470078
std,7.24589845049195e-05,0.005566865671426058,0.12653735280036926,0.01108568999916315,1.9792651073657908e-05,0.005562468431890011,0.12082459777593613,0.01214546337723732
min,0.9995034337043762,0.9298252463340759,0.14499647915363312,0.05345334857702255,0.9999291300773621,0.9315478801727295,0.217740997672081,0.05204610899090767
25%,0.9999672174453735,0.9377302974462509,0.3762184754014015,0.07040643878281116,0.9999809265136719,0.936859667301178,0.34447216242551804,0.07034493237733841
50%,0.9999867677688599,0.9397094249725342,0.44893190264701843,0.07999267801642418,0.9999935030937195,0.939506471157074,0.44674716889858246,0.08183996379375458
75%,0.9999976307153702,0.9446302950382233,0.5205400586128235,0.08708300068974495,0.9999987334012985,0.9445893466472626,0.5311380624771118,0.08836834691464901
max,1.0000001192092896,0.95366370677948,0.64244544506073,0.09950528293848038,1.0,0.952113151550293,0.6530978679656982,0.10081543773412704
