,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.0071219648234546185,-0.027560479938983917,-0.07541687041521072,0.012567793019115925,-0.007165461778640747,-0.027649691328406334,-0.0759621113538742,0.012827757745981216
std,0.0008369702263735235,0.0009458268759772182,0.0091148866340518,0.0008987135370261967,0.0010590871097519994,0.0009667822159826756,0.008410502225160599,0.0009021570440381765
min,-0.008994825184345245,-0.02976943366229534,-0.10611595213413239,0.010635939426720142,-0.009595303796231747,-0.030126161873340607,-0.09316699951887131,0.011258097365498543
25%,-0.0075956373475492,-0.028159203473478556,-0.07907847315073013,0.011979314032942057,-0.007954736473038793,-0.02839713031426072,-0.08213633298873901,0.012086128117516637
50%,-0.007052398985251784,-0.027437367476522923,-0.07421757280826569,0.012599374167621136,-0.007215115940198302,-0.027532367035746574,-0.07469553127884865,0.012775120791047812
75%,-0.0066069429740309715,-0.026950334664434195,-0.06838325783610344,0.013049745699390769,-0.006460127420723438,-0.026995579712092876,-0.06984821148216724,0.013348085805773735
max,-0.005433928687125444,-0.02530813030898571,-0.062098100781440735,0.014877326786518097,-0.004870077129453421,-0.025460556149482727,-0.059119515120983124,0.015390249900519848
