,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.26625892519950867,0.2661339044570923,0.2619795501232147,0.2701905369758606,0.2620181143283844,0.3141893446445465,0.9052343964576721,0.0,0.823437511920929,0.8680468797683716,0.5021874904632568,0.48109376430511475,0.3197384476661682,0.2997828722000122,0.31108081340789795,0.2945097088813782,0.3079918920993805
std,0.02561189793050289,0.01281923521310091,0.018658244982361794,0.01118349190801382,0.016809992492198944,0.014904606156051159,0.02500361204147339,0.0,0.0354868583381176,0.036637842655181885,0.04459512233734131,0.03579580411314964,0.01181421335786581,0.008776446804404259,0.010273836553096771,0.007731429301202297,0.009411261416971684
min,0.19781991839408875,0.2412380874156952,0.2242927849292755,0.24097555875778198,0.23064477741718292,0.2785188555717468,0.84375,0.0,0.73828125,0.76171875,0.41796875,0.3984375,0.2928006052970886,0.2812764048576355,0.2849231958389282,0.2787524461746216,0.28911370038986206
25%,0.24826417490839958,0.2557951509952545,0.2492772787809372,0.2614975869655609,0.2495383620262146,0.30721013247966766,0.8876953125,0.0,0.8017578125,0.8525390625,0.46875,0.4619140625,0.3137338384985924,0.29388438910245895,0.3042997121810913,0.2894165813922882,0.30047012865543365
50%,0.2689162492752075,0.26679517328739166,0.2597590982913971,0.26956282556056976,0.2582361549139023,0.31242622435092926,0.8984375,0.0,0.82421875,0.875,0.5078125,0.48046875,0.32038287818431854,0.2994307577610016,0.30986668169498444,0.2948170453310013,0.30956754088401794
75%,0.28510062396526337,0.27250126004219055,0.27438026666641235,0.27644775807857513,0.273454912006855,0.3206895440816879,0.9248046875,0.0,0.84765625,0.890625,0.52734375,0.5068359375,0.3255983218550682,0.3061019405722618,0.3175837993621826,0.30018117278814316,0.3131306916475296
max,0.315592497587204,0.30298733711242676,0.30285918712615967,0.3060751259326935,0.2965112328529358,0.3664286732673645,0.9609375,0.0,0.90234375,0.94140625,0.6171875,0.5625,0.35661780834198,0.32125645875930786,0.34117332100868225,0.31183186173439026,0.33317506313323975
