,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2633747160434723,0.2616707682609558,0.25970184803009033,0.26369017362594604,0.25859779119491577,0.3184618055820465,0.3251568675041199,0.3067788779735565,0.31896111369132996,0.30126532912254333,0.3156503140926361
std,0.03691399097442627,0.011940178461372852,0.024553600698709488,0.008893517777323723,0.019210515543818474,0.008625549264252186,0.007737861946225166,0.004742260556668043,0.005790160037577152,0.00467248959466815,0.004918589722365141
min,0.1867566555738449,0.24293038249015808,0.21432466804981232,0.24788782000541687,0.21899375319480896,0.30026835203170776,0.3094726502895355,0.2977466881275177,0.30757513642311096,0.2900019586086273,0.3060317635536194
25%,0.23673249781131744,0.2513689696788788,0.2438642792403698,0.2573115602135658,0.24679724499583244,0.3125506639480591,0.31981439888477325,0.30351048707962036,0.3153085261583328,0.2986050248146057,0.3124983161687851
50%,0.263753205537796,0.2614554464817047,0.2575879395008087,0.262643426656723,0.2572842538356781,0.3174436092376709,0.32459233701229095,0.3062954246997833,0.3190086781978607,0.3007761836051941,0.3159771114587784
75%,0.28804513067007065,0.2689033970236778,0.2789544016122818,0.269868403673172,0.27410509437322617,0.32407350093126297,0.33172862231731415,0.30978506803512573,0.3219418004155159,0.30406395345926285,0.3181610256433487
max,0.35210755467414856,0.29223179817199707,0.3067671060562134,0.28882619738578796,0.2936210036277771,0.3396500051021576,0.33948028087615967,0.3208920359611511,0.33541715145111084,0.31561940908432007,0.3309686779975891
