,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2628226578235626,0.2673090994358063,0.2604678273200989,0.2708187401294708,0.2613919973373413,0.3114757239818573,0.9111718535423279,0.0,0.8193749785423279,0.871874988079071,0.49687498807907104,0.48570311069488525,0.3195776343345642,0.2993553578853607,0.31135112047195435,0.2941136062145233,0.30752235651016235
std,0.04492553323507309,0.015202035196125507,0.029420409351587296,0.01189202256500721,0.023087507113814354,0.01278433483093977,0.0253499373793602,0.0,0.03310389071702957,0.03383371978998184,0.04265962913632393,0.03345059975981712,0.012731727212667465,0.008624757640063763,0.00953110121190548,0.007776845246553421,0.009500394575297832
min,0.1669985055923462,0.23840752243995667,0.1950979232788086,0.24425141513347626,0.20546916127204895,0.27515411376953125,0.84375,0.0,0.71484375,0.796875,0.39453125,0.40625,0.29221153259277344,0.28095507621765137,0.2868689298629761,0.2778247892856598,0.2833994925022125
25%,0.24046692997217178,0.2565860003232956,0.2413802184164524,0.26147643476724625,0.24541404843330383,0.30501535534858704,0.90234375,0.0,0.7978515625,0.8486328125,0.4697265625,0.4619140625,0.31102046370506287,0.29373616725206375,0.3046288788318634,0.28873515129089355,0.30013375729322433
50%,0.2610343247652054,0.26749177277088165,0.26002267003059387,0.2707652747631073,0.2612023502588272,0.31219154596328735,0.91015625,0.0,0.8203125,0.875,0.48828125,0.4921875,0.3205176591873169,0.29879407584667206,0.309376984834671,0.29377853870391846,0.30800415575504303
75%,0.2849573642015457,0.27816425263881683,0.2776165306568146,0.27741027623414993,0.27981649339199066,0.317605122923851,0.9296875,0.0,0.84375,0.89453125,0.52734375,0.509765625,0.3282640725374222,0.30582207441329956,0.3185947388410568,0.3005503714084625,0.31312520802021027
max,0.36067408323287964,0.3049156665802002,0.3398188352584839,0.3085209131240845,0.3101441264152527,0.3487713932991028,0.9609375,0.0,0.88671875,0.921875,0.61328125,0.55859375,0.3487458825111389,0.31920090317726135,0.3357478678226471,0.3118606209754944,0.3300953209400177
