,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.003579918062314391,-0.015931688249111176,-0.049684468656778336,0.007937675341963768,-0.0034149186685681343,-0.01604245975613594,-0.05068596452474594,0.008160257712006569
std,0.0004685081366915256,0.00036609303788281977,0.004460450727492571,0.0004055524186696857,0.0003601935168262571,0.0003868724452331662,0.005086156539618969,0.0003994014405179769
min,-0.00463824113830924,-0.016965821385383606,-0.0600232370197773,0.007029238156974316,-0.004448446445167065,-0.01689550280570984,-0.0660911425948143,0.007206365931779146
25%,-0.003888291015755385,-0.01618641009554267,-0.05205790884792805,0.007647471036761999,-0.003627201251219958,-0.016277779825031757,-0.0526494849473238,0.007901536533609033
50%,-0.003572807414457202,-0.015837837010622025,-0.04947816953063011,0.007960066199302673,-0.003457967657595873,-0.01600683480501175,-0.05048363655805588,0.008212574291974306
75%,-0.003199045837391168,-0.01569940708577633,-0.046537891030311584,0.008164169965311885,-0.0031695551006123424,-0.01574932225048542,-0.04736855160444975,0.008390469709411263
max,-0.0026444983668625355,-0.015261940658092499,-0.041097402572631836,0.0089601781219244,-0.002665396314114332,-0.015333704650402069,-0.04140186682343483,0.009308158420026302
