,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999991655349731,0.947950005531311,0.34478941559791565,0.0851651132106781,0.9999994039535522,0.9477497935295105,0.3449821472167969,0.08550470322370529
std,1.7985499880524003e-06,0.004502576310187578,0.11827565729618073,0.008431758731603622,1.518409021628031e-06,0.004528806544840336,0.12084687501192093,0.008377812802791595
min,0.9999909400939941,0.9394066333770752,0.044656287878751755,0.06728260219097137,0.9999927878379822,0.938179612159729,0.041629914194345474,0.0652628168463707
25%,0.9999988228082657,0.9450833648443222,0.2740965560078621,0.08040962927043438,0.9999995529651642,0.9445146322250366,0.256826676428318,0.08095133304595947
50%,0.9999997317790985,0.9484141767024994,0.3609921783208847,0.0857556127011776,0.9999999403953552,0.94850754737854,0.3567310720682144,0.0839960165321827
75%,1.000000074505806,0.9510753005743027,0.42598956823349,0.08982620760798454,1.0000001192092896,0.9502417296171188,0.4300675541162491,0.09009936451911926
max,1.0000004768371582,0.9579154253005981,0.5597748756408691,0.10208557546138763,1.0000008344650269,0.9583516716957092,0.6125183701515198,0.104745052754879
