,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999673366546631,0.7992003560066223,0.09403987228870392,0.19180473685264587,0.9999582171440125,0.7995657324790955,0.09650727361440659,0.19197244942188263
std,7.575956988148391e-05,0.011890404857695103,0.05200587585568428,0.00911503192037344,9.839810809353366e-05,0.011435667984187603,0.055673956871032715,0.008407137356698513
min,0.9995434880256653,0.7662476301193237,0.006997696124017239,0.16982102394104004,0.9993905425071716,0.769888699054718,0.004063413478434086,0.16848872601985931
25%,0.9999673813581467,0.7927283942699432,0.0489680003374815,0.18747711181640625,0.9999710619449615,0.7932296395301819,0.050062610767781734,0.18798386305570602
50%,0.9999881982803345,0.7979247570037842,0.09287595003843307,0.19146257638931274,0.9999923408031464,0.7976528108119965,0.09190529584884644,0.19245310127735138
75%,0.999999076128006,0.8059166967868805,0.13328839093446732,0.19817547500133514,0.9999992549419403,0.8053509742021561,0.1401921883225441,0.1976950243115425
max,1.000000238418579,0.8240388035774231,0.1979363113641739,0.21500073373317719,1.0,0.8274222016334534,0.22464555501937866,0.20660609006881714
