,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9271377325057983,0.02335677295923233,-0.01746920309960842,0.1047738566994667,0.9309046864509583,0.023302948102355003,-0.017987335100769997,0.10636081546545029
std,0.07950780540704727,0.005038907751441002,0.0020984697621315718,0.015385188162326813,0.07912635058164597,0.005028712097555399,0.0019237016094848514,0.015128773637115955
min,0.5912882089614868,0.01348606962710619,-0.02484756149351597,0.07305391877889633,0.6860853433609009,0.014938704669475555,-0.021848807111382484,0.07746841013431549
25%,0.8974441736936569,0.020007997751235962,-0.018526597879827023,0.09423313848674297,0.9032639712095261,0.020045308861881495,-0.019223337527364492,0.09776430390775204
50%,0.9493858814239502,0.022597331553697586,-0.017143139615654945,0.10317760333418846,0.9602712988853455,0.022159794345498085,-0.017908114939928055,0.10356521978974342
75%,0.9892182797193527,0.02564040245488286,-0.016103077679872513,0.11697248369455338,0.9862110763788223,0.026210791897028685,-0.016392551362514496,0.11672446504235268
max,0.9999997615814209,0.03608337417244911,-0.014363080263137817,0.14032533764839172,0.9999955296516418,0.03731314837932587,-0.01428330410271883,0.14491057395935059
