,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.00384723418392241,-0.019031262025237083,-0.060009680688381195,0.009695709683001041,-0.0036652511917054653,-0.019199147820472717,-0.06181713938713074,0.010024192743003368
std,0.000543494476005435,0.0004584152775350958,0.005815921816974878,0.0004791291430592537,0.0004063429369125515,0.0004836500738747418,0.0070884269662201405,0.0004713112721219659
min,-0.0051337662152945995,-0.020355042070150375,-0.07661311328411102,0.008501680567860603,-0.00456103915348649,-0.02038455568253994,-0.08166120946407318,0.009038257412612438
25%,-0.004311836324632168,-0.019301299937069416,-0.06278240494430065,0.00934408139437437,-0.003931021550670266,-0.01943037286400795,-0.0647555235773325,0.009724534349516034
50%,-0.0037859829608350992,-0.018998468294739723,-0.05914597772061825,0.009638988878577948,-0.0036812893813475966,-0.01914231013506651,-0.060889629647135735,0.009987600613385439
75%,-0.0034053457784466445,-0.01866886531934142,-0.056280327029526234,0.01007309672422707,-0.003389263933058828,-0.01892968686297536,-0.05711619555950165,0.010358965024352074
max,-0.0027365118730813265,-0.01814170740544796,-0.047806449234485626,0.01057091448456049,-0.002946876222267747,-0.018274318426847458,-0.050127945840358734,0.011063292622566223
