,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999836087226868,0.9787645936012268,0.8374453186988831,0.020936375483870506,0.9999798536300659,0.9787800312042236,0.8350258469581604,0.020794857293367386
std,2.6678701033233665e-05,0.001016121474094689,0.05177612975239754,0.0016693540383130312,3.539887984516099e-05,0.0010561954695731401,0.04856641963124275,0.0018206079257652164
min,0.999873697757721,0.9765862226486206,0.6096593737602234,0.018503917381167412,0.9998476505279541,0.9762875437736511,0.6744431257247925,0.0171556007117033
25%,0.9999862313270569,0.9780328571796417,0.8219791799783707,0.019659169483929873,0.999982476234436,0.9780785739421844,0.8230039924383163,0.019646088127046824
50%,0.9999943971633911,0.978935956954956,0.8512582182884216,0.02072195801883936,0.9999944269657135,0.9789847731590271,0.8584099411964417,0.020489821210503578
75%,0.999999076128006,0.9795913845300674,0.8719705939292908,0.021953589748591185,0.9999995827674866,0.9796151220798492,0.8681431412696838,0.021607935428619385
max,1.0000001192092896,0.9805755615234375,0.899258553981781,0.02610250748693943,1.0000004768371582,0.9802294969558716,0.8909774422645569,0.026342367753386497
