,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9041645526885986,0.014893729239702225,-0.015115264803171158,0.08897453546524048,0.9099538922309875,0.014879600144922733,-0.014915074221789837,0.09034040570259094
std,0.09271601587533951,0.0042989207431674,0.0018608979880809784,0.015597963705658913,0.09763235598802567,0.004375500604510307,0.0015525220660492778,0.01564030908048153
min,0.6652212142944336,0.0077376519329845905,-0.020328983664512634,0.058762338012456894,0.6265674233436584,0.006972847506403923,-0.01940961927175522,0.057192612439394
25%,0.834326446056366,0.011367756174877286,-0.016478448174893856,0.07844635844230652,0.8760346919298172,0.011761559173464775,-0.015788274817168713,0.07942377217113972
50%,0.935140997171402,0.014542095828801394,-0.014790134970098734,0.08819156140089035,0.9467652142047882,0.014561296440660954,-0.014900892972946167,0.0896422266960144
75%,0.9769410192966461,0.017401641700416803,-0.013720357557758689,0.10125509463250637,0.9829212874174118,0.01717252191156149,-0.013733092462643981,0.09937036037445068
max,0.9999549984931946,0.025123681873083115,-0.012175312265753746,0.12617960572242737,0.9999665021896362,0.025866692885756493,-0.0117690684273839,0.12827906012535095
