,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999678730964661,0.8664689064025879,0.2354627102613449,0.13552606105804443,0.9999724626541138,0.8671358227729797,0.24097837507724762,0.1348448395729065
std,6.0755224694730714e-05,0.009122851304709911,0.0764024406671524,0.00918952189385891,4.852448182646185e-05,0.008538841269910336,0.07630425691604614,0.008016870357096195
min,0.9997692108154297,0.8506121635437012,0.08523733168840408,0.1136842668056488,0.9997854232788086,0.8527117967605591,0.051726579666137695,0.11476700007915497
25%,0.9999814033508301,0.8597511500120163,0.18100981041789055,0.13127846643328667,0.9999728798866272,0.862560361623764,0.19847001880407333,0.13080299645662308
50%,0.999994546175003,0.8656783103942871,0.23962361365556717,0.13675402104854584,0.9999953508377075,0.8663676977157593,0.2568207085132599,0.13659314811229706
75%,0.9999990165233612,0.8706387877464294,0.297150120139122,0.14145196601748466,0.9999997466802597,0.870944082736969,0.28685565292835236,0.1404552422463894
max,1.0000003576278687,0.8898757696151733,0.37101131677627563,0.1520673781633377,1.0,0.888350784778595,0.40305444598197937,0.1486959457397461
