,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.9999806880950928,0.8358162641525269,0.1655842661857605,0.16579939424991608,0.9999814033508301,0.8361696600914001,0.15160681307315826,0.16534051299095154
std,3.0390039682970382e-05,0.011339429765939713,0.0713520497083664,0.009814339689910412,3.443041714490391e-05,0.010774174705147743,0.057963743805885315,0.00922422669827938
min,0.9998430609703064,0.8148773908615112,0.04986034333705902,0.1410430371761322,0.9998724460601807,0.8147333860397339,0.012247733771800995,0.1420213133096695
25%,0.999970093369484,0.828084796667099,0.10300038754940033,0.16013490036129951,0.9999839961528778,0.82929527759552,0.12386163510382175,0.16120129078626633
50%,0.9999954998493195,0.8340528309345245,0.1710531935095787,0.1671959087252617,0.999997079372406,0.8344843983650208,0.15555111318826675,0.16613244265317917
75%,0.9999990910291672,0.841320663690567,0.2133377157151699,0.17132657766342163,0.9999997615814209,0.8405961245298386,0.19127218425273895,0.1714259497821331
max,1.0000009536743164,0.8659935593605042,0.30874547362327576,0.18963490426540375,1.0000003576278687,0.86372971534729,0.2551068663597107,0.1874154806137085
