,bycol_max,bycol_mean,bycol_min,bycol_std,byrow_max,byrow_mean,byrow_min,byrow_std
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,-0.003917038906365633,-0.020045101642608643,-0.06433084607124329,0.010380352847278118,-0.0037498227320611477,-0.020231571048498154,-0.06614580750465393,0.01075772289186716
std,0.0005696728476323187,0.0004907914553768933,0.0052574933506548405,0.0005202852189540863,0.00046509612002409995,0.0005159510183148086,0.0060322340577840805,0.0005164551548659801
min,-0.005212915129959583,-0.02120954915881157,-0.07936609536409378,0.009323637932538986,-0.005140211433172226,-0.021561767905950546,-0.08016440272331238,0.009706397540867329
25%,-0.004250907921232283,-0.020421946421265602,-0.06788274087011814,0.010000878246501088,-0.004118974320590496,-0.02057813061401248,-0.06894929148256779,0.010370562318712473
50%,-0.003881715703755617,-0.019974365830421448,-0.06330933049321175,0.010359033942222595,-0.0036841256078332663,-0.02018243633210659,-0.06537337228655815,0.010784643702208996
75%,-0.0034963577636517584,-0.019686052575707436,-0.06050592567771673,0.010667683789506555,-0.00337861553998664,-0.019830938894301653,-0.06198431085795164,0.011076922295615077
max,-0.0027437605895102024,-0.019002795219421387,-0.05644109472632408,0.011575553566217422,-0.0029686803463846445,-0.01933681219816208,-0.0563424751162529,0.01220671832561493
