,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.28894761204719543,0.2859821617603302,0.2857910394668579,0.285853773355484,0.28568047285079956,0.2882808744907379,0.9056249856948853,0.0,0.8163281083106995,0.8525781035423279,0.4497656226158142,0.4614843726158142,0.28684425354003906,0.2868245840072632,0.2876051664352417,0.2854017913341522,0.2870440185070038
std,0.0328725129365921,0.015107696875929832,0.026636747643351555,0.011658016592264175,0.022649550810456276,0.012655607424676418,0.02395475097000599,0.0,0.035173870623111725,0.029579157009720802,0.041234347969293594,0.04172234237194061,0.012469461187720299,0.007914604619145393,0.008438942022621632,0.007270799018442631,0.008163726888597012
min,0.2217869609594345,0.2538379430770874,0.22336998581886292,0.25960618257522583,0.2353672981262207,0.24963656067848206,0.859375,0.0,0.73828125,0.78515625,0.31640625,0.37109375,0.25920283794403076,0.26425424218177795,0.2653919458389282,0.26485487818717957,0.26600492000579834
25%,0.26413261890411377,0.2762545719742775,0.2646874710917473,0.2785424143075943,0.2697552740573883,0.2806399166584015,0.890625,0.0,0.791015625,0.8359375,0.4267578125,0.43359375,0.2780338525772095,0.28170327097177505,0.2808777764439583,0.2804543077945709,0.2828027084469795
50%,0.2920377552509308,0.2854108512401581,0.28594619035720825,0.2873438745737076,0.28582416474819183,0.286338672041893,0.90234375,0.0,0.818359375,0.853515625,0.453125,0.46875,0.2854471504688263,0.28598150610923767,0.287470206618309,0.2849022150039673,0.286546990275383
75%,0.3124890625476837,0.29651378840208054,0.29985636472702026,0.29459813982248306,0.30088868737220764,0.29662516713142395,0.921875,0.0,0.8427734375,0.87109375,0.4716796875,0.486328125,0.29682646691799164,0.2924201190471649,0.2938977777957916,0.2901066616177559,0.2927849590778351
max,0.35359394550323486,0.319269597530365,0.3471088111400604,0.3079063296318054,0.3393140435218811,0.3161906898021698,0.9609375,0.0,0.87109375,0.91796875,0.52734375,0.57421875,0.31323230266571045,0.30425339937210083,0.30681267380714417,0.30108851194381714,0.3038662075996399
