,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.3059946596622467,0.29118460416793823,0.30308762192726135,0.2846345901489258,0.3011239767074585,0.3683381676673889,0.3779088854789734,0.32602033019065857,0.3601466715335846,0.3120269775390625,0.35037434101104736
std,0.03484487533569336,0.012321935966610909,0.020625298842787743,0.009551473893225193,0.01801656000316143,0.014390229247510433,0.011635493487119675,0.008743342012166977,0.010181677527725697,0.008067998103797436,0.009328952990472317
min,0.20906807482242584,0.2678174376487732,0.2582271695137024,0.268177330493927,0.2611587345600128,0.3364742398262024,0.35029199719429016,0.3040837049484253,0.3400932550430298,0.29417529702186584,0.3305045962333679
25%,0.2801702320575714,0.27980712056159973,0.28982727229595184,0.27553754299879074,0.28869450092315674,0.35972507297992706,0.37174055725336075,0.3204458951950073,0.35279300808906555,0.30625350028276443,0.34389476478099823
50%,0.31011947989463806,0.2940080463886261,0.30345579981803894,0.28598056733608246,0.3021800369024277,0.3664586544036865,0.37761446833610535,0.32594357430934906,0.3594585359096527,0.31132787466049194,0.3486480414867401
75%,0.32765500992536545,0.3002096861600876,0.3157697767019272,0.29247111082077026,0.31498322635889053,0.37771766632795334,0.3837107941508293,0.3326215595006943,0.3657772168517113,0.317409448325634,0.3569846898317337
max,0.37216389179229736,0.317196249961853,0.3410826325416565,0.30499061942100525,0.33905452489852905,0.39669570326805115,0.4067179560661316,0.3464527726173401,0.38288211822509766,0.3321077823638916,0.37190622091293335
