,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2803422808647156,0.2704774737358093,0.2777146100997925,0.2681107819080353,0.27598488330841064,0.3715844750404358,0.37386807799339294,0.33158454298973083,0.3604847192764282,0.3185786008834839,0.35267654061317444
std,0.02729148417711258,0.010927927680313587,0.019211892038583755,0.00857961643487215,0.01640797220170498,0.015764513984322548,0.011769657023251057,0.009003366343677044,0.009771724231541157,0.008243161253631115,0.009266172535717487
min,0.22406187653541565,0.2512928247451782,0.2405918836593628,0.2510635256767273,0.24586838483810425,0.3396754860877991,0.34824302792549133,0.31360530853271484,0.3437398076057434,0.3030269145965576,0.336472749710083
25%,0.25689440220594406,0.26023292541503906,0.26587823778390884,0.26028576493263245,0.26395631581544876,0.36258672922849655,0.36780601739883423,0.32448554039001465,0.35311315208673477,0.3126131519675255,0.34571876376867294
50%,0.2837338298559189,0.27161239087581635,0.2769445478916168,0.2686004042625427,0.27552326023578644,0.37208427488803864,0.3742848336696625,0.33057916164398193,0.35962995886802673,0.3185872584581375,0.35097767412662506
75%,0.29859867691993713,0.2789650484919548,0.2921372875571251,0.2761991545557976,0.2887042984366417,0.38255153596401215,0.3823196515440941,0.33917587995529175,0.3659025654196739,0.3245871588587761,0.358556866645813
max,0.3402302861213684,0.29097017645835876,0.31657686829566956,0.2853776812553406,0.312367707490921,0.40503519773483276,0.4022291302680969,0.3532058000564575,0.3811625838279724,0.3392699956893921,0.37294381856918335
